Field Mnemonic,Data License Category,Comdty,Equity,Muni,Pfd,M-Mkt,Govt,Corp,Index,Curncy,Mtge,Field Type,Width
%_GR_ANN_RNTREV_EXP_SF_AFT_10Y,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,200
%_GROSS_ANN_RNTREV_EXP_SF_IN_10Y,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,0
%_GROSS_ANN_RNTREV_EXP_SF_IN_6Y,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,0
%_GROSS_ANN_RNTREV_EXP_SF_IN_7Y,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,0
%_GROSS_ANN_RNTREV_EXP_SF_IN_8Y,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,0
%_GROSS_ANN_RNTREV_EXP_SF_IN_9Y,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,0
%_OF_TSY_HLD_IN_THE_FED_RES_SOMA,Security Master, , , , , ,Govt, , , ,Mtge,Real,4
%_OIL_SANDS_TO_HEAVY_OIL_PROD,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,4
%_SEN_NII_FOR_100_BP_DECR_MEDIAN,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,5
%_SEN_NII_FOR_200_BP_INC_MEDIAN,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,7
1_5_LIEN_INDICATOR,Security Master, , , , , , ,Corp, , , ,Boolean,4
1_DAY_AVERAGE_TURNOVER_AT_TIME,Derived Data, ,Equity, , , , , , , , ,Real,12
1_DAY_AVERAGE_VOLUME_AT_TIME,Derived Data, ,Equity, , , , , , , , ,Real,12
1_DAY_CDI_RELATED_TRR_LAST_CLOSE,Derived Data, ,Equity, , , , , , , , ,Real,12
1_HOUR_PRICE_CHANGE,Derived Data, ,Equity, , , , , ,Index,Curncy, ,Price,0
1_MINUTE_PRICE_CHANGE,Derived Data, ,Equity, , , , , ,Index,Curncy, ,Price,100
1_MO_SMM,End of Day Pricing, , , , , , , , , ,Mtge,Real,100
1_MONTH_CDI_RELATED_TRR_LAST_CLS,Derived Data, ,Equity, , , , , , , , ,Real,100
1_WK_CDI_RELATED_TRR_LAST_CLOSE,Derived Data, ,Equity, , , , , , , , ,Real,100
1_YEAR_KEY_RATE_SOVEREIGN_CURVE,Derived Data, , , , , , , ,Index, , ,Real,100
1_YEAR_KEY_RATE_SWAP_CURVE,Derived Data, , , , , , , ,Index, , ,Real,100
